Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Singh's Delight Restaurant(Sunderpur),"North Indian,Biryani,Mughlai,Chinese",3.8,350,Nagwa,Sunderpur,"1st Floor , Near Life Line Hospital, Brij Enclave Colony,Sunderpur varanasi, Sunderpur, Varanasi",False,0
Burger King,"American,Fast Food",4.1,350,Sigra,Shastri Nagar,"Ground Floor and First Floor,Tulsi Complex,C-19/134,M-B,Shastri Nagar,Sigra,Varanasi,Uttar Pradesh 221001",False,0
McDonald's,American,4.0,400,Varanasi Cantonment,JHV Mall,"UP Varanasi JHV Mall,  Shop No. 19-21/G, JHV Mall, Mall Road. Varanasi Cantt.,  Varanasi (U.P)- 221004",False,0
Aman E Khas,"Mughlai,Biryani,North Indian,Chinese",3.9,350,Bhelupur,Bhelupur,"Boradway Hotel, Near IP Vijay Mall, Bhelupur, Varanasi",False,0
Mahadev momo and coffee corner,Chinese,NA,200,Sigra,Sigra,"C28/141-k-p, teliyabagh, varanasi nagar nigam food safety zone-11 varanasi uttar pradesh-221002",False,0
FIVE STAR CHICKEN,"Snacks,Fast Food,Indian",NA,200,Sigra,Sigra,"B 38/55 69 sheel nager varanasi, Ranipur,  Nagar Nigam Food Safety Zone-15,  Varanasi, Uttar Pradesh - 221010",False,0
Pind Balluchi,"North Indian,Biryani,Mughlai,Thalis,Chinese",3.9,400,Jahumandi,Rathyatra,"3rd Floor, Swastik City Centre, Rathyatra, Sigra, Varanasi",False,0
GUPTA BAKERS,Bakery,NA,250,Nadesar,Nadesar,"S 9/480, nai basti panchkoshi road pandeypur varanasi nagar nigam food safety zone-2, varanasi uttar pradesh-221002",False,0
TanSam,Bakery,NA,250,Maheshpur,Sigra,"D 65/462, Lahartara, Varanasi, - 221002",False,0
The Cake Cottage,Bakery,4.1,300,Mahmoorganj,Mahmoorganj,"D 63/13-A, Opposite Passport office, Mahmoorganj, Varanasi",True,0
The	Biryani Mahal,"Biryani,Mughlai,North Indian,Snacks",3.8,350,Bhelupur,Lanka,"B-27/88-2-A-E	Ravindrapuri, bhelupur,	Varanasi,",False,0
Baba Vishwanath Family Restuarant & Cafeteria,"North Indian,Chinese,Snacks",NA,250,Nadesar,Nadesar,"S 9/185 A-1-A,NAIBASTI,KHAJURI,Pandeypur, Nagar Nigam Food Safety Zone-2, Varanasi, Uttar Pradesh - 221002",True,0
Pizza Hut,"Fast Food,Pizzas",3.3,350,Sigra,Varanasi,"Pizza Hut at Ground Floor, Gulab Bagh Residential Scheme, House No- C. 19/187-13 K Mohalla Lallapura, Ward Chetganj, Varanasi, Nagar Nigam Food Safety Zone-14,Uttar Pradesh, 221003",False,0
The Big Chilli,"North Indian,Biryani,Chinese,Fast Food",3.8,350,Chaukaghat,Nadesar,"S- 19/74, Varuna Bridge, Nadesar, Varanasi",False,0
The Taste of Banarasiya,"Indian,Chinese",3.4,200,Shivpurwa,Sigra,"C 33/283,Chandua ,Chittupura,Ghanti Mil road,Varanasi,Uttar Pradesh",False,0
Banarasiya restaurant,"Indian,Chinese,Beverages",3.5,200,Sigra,Sigra,"C-33/283-A  CHHITTUPURA,VARANASI,221010  Varanasi, Lahartara, Nagar Nigam Food  Safety Zone-15, Varanasi, Uttar Pradesh -  221010",False,0
Recipe Inn Restaurant,"North Indian,Mughlai,Chinese",3.7,350,Varanasi Cantonment,Nadesar,"Mint House crossing Near Pet Plaza, Nadesar, Varanasi",False,0
